,Sample.Name,Barcode.ID,Mapped.Reads,Valid.Reads,Targets.Detected,Sample_name
1,RD1,IonXpress_052,12514728,94.29%,63.67%,RC1
2,RD2,IonXpress_054,9885756,95.04%,63.78%,RC2
3,RD5,IonXpress_056,12318268,93.90%,69.63%,RC3
4,RD6,IonXpress_0312,14686363,94.28%,69.92%,RC4
5,RD8,IonXpress_011,12901702,95.09%,67.98%,RC5
6,RK1,IonXpress_025,9027148,95.44%,64.77%,RB1
7,RK2,IonXpress_031,13054707,96.12%,60.80%,RB2
8,RK3,IonXpress_005,10257258,96.14%,63.09%,RB3
9,RK4,IonXpress_033,12257523,95.69%,62.79%,RB4
10,RK6,IonXpress_035,13092477,94.63%,68.72%,RB5
11,RK7,IonXpress_037,7592573,95.86%,63.64%,RB6
12,RK7.1,IonXpress_0372,10188209,95.95%,65.99%,RB6
13,RK8,IonXpress_007,11215608,96.90%,59.29%,RB7
14,RW10,IonXpress_027,10403480,94.74%,64.99%,RA3
15,RW11,IonXpress_029,13119798,95.11%,68.17%,RA4
16,RW13,IonXpress_039,11796078,93.85%,68.31%,RA5
17,RW18,IonXpress_042,13022777,94.60%,68.60%,RA6
18,RW20,IonXpress_044,12016462,95.49%,66.41%,RA7
19,RW22,IonXpress_046,11429843,94.96%,68.80%,RA8
20,RW23,IonXpress_009,12494169,95.18%,68.33%,RA9
21,RW24,IonXpress_048,11621644,94.55%,69.07%,RA10
22,RW26,IonXpress_050,11955513,93.18%,72.09%,RA11
23,RW5,IonXpress_001,13420934,96.04%,63.24%,RA1
24,RW8,IonXpress_003,13952217,94.50%,69.48%,RA2
25,WD1,IonXpress_053,12875933,93.13%,60.42%,WC1
26,WD2,IonXpress_055,17506474,94.67%,64.77%,WC2
27,WD5,IonXpress_057,14308383,94.81%,68.88%,WC3
28,WD6,IonXpress_0322,14200500,94.60%,67.76%,WC4
29,WD8,IonXpress_012,9511725,94.99%,64.14%,WC5
30,WK1,IonXpress_026,8456720,94.55%,65.32%,WB1
31,WK2,IonXpress_032,11357674,93.99%,58.52%,WB2
32,WK3,IonXpress_006,9286240,96.02%,62.41%,WB3
33,WK4,IonXpress_034,9734698,94.28%,64.53%,WB4
34,WK6,IonXpress_036,10640431,93.66%,63.56%,WB5
35,WK7,IonXpress_038,4989294,95.50%,61.31%,WB6
36,WK7.1,IonXpress_0382,6288068,95.61%,63.13%,WB6
37,WK8,IonXpress_008,13662896,94.99%,65.76%,WB7
38,WW10,IonXpress_028,11470409,94.36%,65.57%,WA3
39,WW11,IonXpress_030,12396440,94.51%,68.56%,WA4
40,WW13,IonXpress_040,10458399,93.55%,67.68%,WA5
41,WW18,IonXpress_043,11953948,93.78%,66.03%,WA6
42,WW20,IonXpress_045,8908393,94.96%,67.67%,WA7
43,WW22,IonXpress_047,10968218,94.83%,68.48%,WA8
44,WW23,IonXpress_010,14738973,93.70%,66.50%,WA9
45,WW24,IonXpress_049,11888637,94.41%,69.81%,WA10
46,WW26,IonXpress_051,15942364,93.26%,69.53%,WA11
47,WW5,IonXpress_002,12504954,93.37%,62.06%,WA1
48,WW8,IonXpress_004,14201695,95.22%,69.77%,WA2
